,CESAW,SiP,Renzo
N,55393,6767,5703
share underestimated,0.424,0.456,0.491
p (sign test vs 50%),2.51e-278,4.17e-13,2.04e-01
geometric mean ratio,0.799,0.86,0.947
p (log_ratio vs 0),0.00e+00,4.00e-32,7.83e-07
verdict,OVERestimation,OVERestimation,OVERestimation
