,CESAW,SiP,Renzo
среднее (арифм.),1.487,1.359,1.17
геом. среднее,0.814,0.905,0.97
медиана,0.942,1.0,1.0
p05,0.123,0.2,0.25
p25,0.49,0.714,0.75
p75,1.383,1.22,1.25
p90,2.68,2.005,2.0
p95,4.354,3.132,3.0
max,298.0,281.4,11.0
