,уровней,R²,R² скорр.,R² out-of-sample
person,246.0,0.1124,0.1084,0.1033
phase_short_name,100.0,0.0435,0.0418,0.0401
project,45.0,0.0318,0.0311,0.0304
size_bin,7.0,0.0212,0.0211,0.0209
team_key,10.0,0.0099,0.0098,0.0096
process_name,5.0,0.0057,0.0056,0.0055
ВСЕ ФАКТОРЫ ВМЕСТЕ,413.0,0.1824,0.1763,0.1702
